,angle
660,40.40000000000001
661,-40.40000000000001
662,-1.3
663,1.3
664,6.7
665,-6.7
666,-19.200000000000006
667,26.3
668,-36.1
669,-46.7
670,46.7
671,0.2
672,6.5
673,11.2
674,-11.2
675,26.20000000000001
676,-33.7
677,33.7
678,47.0
679,-0.2
680,-6.6000000000000005
681,-13.0
682,13.0
683,23.3
684,-31.20000000000001
685,45.8
686,0.1
687,5.8000000000000025
688,-5.8000000000000025
689,-10.1
690,-23.4
691,38.1
692,-38.1
693,45.6
694,-2.1
695,2.1
696,-5.4
697,12.9
698,20.9
699,34.300000000000004
700,-34.300000000000004
701,41.7
702,2.6
703,-2.6
704,-7.0
705,13.5
706,-13.5
707,24.3
708,30.9
709,43.0
710,-0.2
711,7.5
712,-7.5
713,15.2
714,-15.2
715,25.0
716,31.0
717,43.0
718,0.1
719,-5.6000000000000005
720,15.7
721,-15.7
722,-25.70000000000001
723,-30.70000000000001
724,-44.3
725,-1.5
726,1.5
727,-7.1
728,7.1
729,-17.7
730,-20.3
731,-34.5
732,40.8
733,-0.7000000000000001
734,0.7000000000000001
735,5.2
736,-5.2
737,-12.1
738,-24.20000000000001
739,24.20000000000001
740,-34.0
741,34.0
742,47.90000000000001
743,1.4
744,7.6
745,-7.6
746,13.1
747,-13.1
748,-25.5
749,25.5
750,-32.3
751,-43.0
752,43.0
753,2.8000000000000003
754,-7.1
755,12.3
756,-12.3
757,20.2
758,-20.2
759,31.8
760,-49.8
761,49.8
762,0.30000000000000004
763,-6.0
764,11.9
765,-23.20000000000001
766,-38.90000000000001
767,-44.1
768,0.7000000000000001
769,-0.7000000000000001
770,-6.0
771,6.0
772,13.1
773,-28.1
774,36.0
775,-43.4
776,43.4
777,-2.1
778,-5.300000000000002
779,5.300000000000002
780,13.1
781,-13.1
782,26.3
783,-30.3
784,-46.5
785,46.5
786,4.9
787,5.7
788,-15.8
789,20.9
790,-31.1
791,31.1
792,43.7
793,-43.7
794,0.0
795,-0.0
796,-6.5
797,11.4
798,-11.4
799,26.3
800,-35.6
801,35.6
802,-40.5
803,40.5
804,0.4
805,-9.7
806,11.0
807,-11.0
808,21.6
809,33.800000000000004
810,-41.8
811,41.8
812,2.6
813,5.5
814,-5.5
815,16.7
816,25.0
817,-33.5
818,-43.0
819,43.0
820,-1.0
821,-7.2
822,11.4
823,-11.4
824,-24.20000000000001
825,24.20000000000001
826,-36.4
827,36.4
828,47.2
829,-4.9
830,4.9
831,5.8
832,-5.8
833,18.3
834,-18.3
835,-24.6
836,24.6
837,-37.2
838,37.2
839,-40.5
840,-1.0
841,6.3000000000000025
842,-6.3000000000000025
843,17.6
844,26.3
845,-26.3
846,-31.2
847,31.2
848,42.1
849,-1.7
850,-5.5
851,5.5
852,-11.0
853,29.70000000000001
854,-29.70000000000001
855,37.6
856,-37.6
857,-43.0
858,43.0
859,3.0
860,-3.0
861,-6.8000000000000025
862,6.8000000000000025
863,18.7
864,23.70000000000001
865,-30.1
866,40.6
867,-40.6
868,-0.5
869,5.2
870,17.5
871,-17.5
872,-24.20000000000001
873,24.20000000000001
874,-33.300000000000004
875,33.300000000000004
876,-41.3
877,-2.2
878,6.3
879,15.7
880,26.3
881,-26.3
882,-31.2
883,-45.3
884,0.0
885,-0.0
886,8.5
887,-8.5
888,-11.7
889,23.8
890,39.90000000000001
891,-47.2
892,47.2
893,0.7000000000000001
894,-0.7000000000000001
895,5.3
896,-13.4
897,13.4
898,-25.6
899,-31.2
900,31.2
901,40.3
902,3.8
903,-6.8
904,18.6
905,-18.6
906,27.3
907,33.1
908,48.5
909,-48.5
910,-3.8
911,3.8
912,-6.6000000000000005
913,6.6000000000000005
914,13.1
915,23.70000000000001
916,-23.70000000000001
917,-33.4
918,-47.9
919,47.9
920,-1.1
921,-7.6
922,7.6
923,-12.4
924,12.4
925,28.4
926,-28.4
927,30.4
928,-30.4
929,-40.90000000000001
930,40.90000000000001
931,-0.5
932,0.5
933,-9.5
934,9.5
935,18.6
936,-23.8
937,23.8
938,33.800000000000004
939,-43.0
940,43.0
941,-1.7000000000000002
942,-9.7
943,9.7
944,13.8
945,-13.8
946,21.9
947,-21.9
948,-30.9
949,42.6
950,-42.6
951,0.2
952,-0.2
953,7.6
954,-11.5
955,11.5
956,20.5
957,37.8
958,-49.0
959,49.0
960,-0.2
961,0.2
962,-5.2
963,5.2
964,-15.9
965,20.700000000000006
966,-20.700000000000006
967,36.1
968,42.5
969,-1.6
970,1.6
971,8.1
972,-14.0
973,14.0
974,-24.2
975,24.2
976,-30.70000000000001
977,30.70000000000001
978,-47.90000000000001
979,-2.1
980,-5.9
981,5.9
982,11.4
983,-11.4
984,-20.6
985,-32.6
986,32.6
987,-43.0
988,0.7999999999999999
989,7.8000000000000025
990,10.7
991,20.700000000000006
992,-20.700000000000006
993,33.1
994,-43.1
995,0.6000000000000001
996,-0.6000000000000001
997,-5.4
998,5.4
999,11.1
1000,-11.1
1001,-24.20000000000001
1002,24.20000000000001
1003,32.6
1004,-32.6
1005,-45.6
1006,0.30000000000000004
1007,5.7
1008,17.2
1009,22.20000000000001
1010,-22.20000000000001
1011,31.0
1012,-31.0
1013,47.40000000000001
1014,-47.40000000000001
1015,-2.2
1016,-6.2
1017,6.2
1018,10.2
1019,28.5
1020,-28.5
1021,-39.40000000000001
1022,39.40000000000001
1023,40.2
1024,0.1
1025,5.1
1026,13.1
1027,-13.1
1028,26.3
1029,32.8
1030,-32.8
1031,-43.0
1032,0.0
1033,-6.8
1034,6.8
1035,-11.9
1036,11.9
1037,-20.2
1038,-33.2
1039,33.2
1040,-43.0
1041,-1.3
1042,-6.4
1043,6.4
1044,13.1
1045,-24.20000000000001
1046,32.1
1047,-32.1
1048,-40.5
1049,1.2000000000000002
1050,6.4
1051,11.0
1052,20.9
1053,-38.7
1054,38.7
1055,-47.90000000000001
1056,0.0
1057,-0.0
1058,5.8000000000000025
1059,-14.1
1060,14.1
1061,26.9
1062,38.40000000000001
1063,-43.1
1064,-1.4
1065,6.0
1066,-6.0
1067,-16.2
1068,23.70000000000001
1069,-23.70000000000001
1070,34.4
1071,43.8
1072,-43.8
1073,0.5
1074,5.4
1075,-5.4
1076,-10.5
1077,26.3
1078,-30.9
1079,30.9
1080,-40.8
1081,40.8
1082,0.5
1083,-0.5
1084,5.4
1085,-11.1
1086,22.9
1087,-22.9
1088,32.1
1089,44.40000000000001
1090,-44.40000000000001
1091,-1.1
1092,-6.7
1093,6.7
1094,-11.7
1095,11.7
1096,29.3
1097,-30.7
1098,-40.90000000000001
1099,-3.6
1100,3.6
1101,-5.2
1102,5.2
1103,-10.7
1104,20.6
1105,38.2
1106,-47.90000000000001
1107,1.3
1108,-1.3
1109,-5.300000000000002
1110,-10.4
1111,21.6
1112,-30.9
1113,44.6
1114,0.7000000000000001
1115,-0.7000000000000001
1116,-6.1
1117,6.1
1118,13.1
1119,-13.1
1120,22.6
1121,-37.0
1122,37.0
1123,-46.3
1124,-0.4
1125,0.4
1126,-5.7
1127,-10.1
1128,10.1
1129,-20.3
1130,20.3
1131,40.0
1132,-40.5
1133,40.5
1134,1.0
1135,-5.7
1136,5.7
1137,18.5
1138,-18.5
1139,21.5
1140,30.3
1141,-30.3
1142,-40.5
1143,-2.5
1144,2.5
1145,7.3000000000000025
1146,-7.3000000000000025
1147,-19.200000000000006
1148,20.9
1149,-37.0
1150,37.0
1151,44.6
1152,-0.6000000000000001
1153,0.6000000000000001
1154,5.6
1155,-5.6
1156,13.1
1157,-24.20000000000001
1158,38.8
1159,-38.8
1160,41.3
1161,-41.3
1162,4.4
1163,-4.4
1164,6.0
1165,-19.700000000000006
1166,-21.9
1167,21.9
1168,35.5
1169,-40.5
1170,0.1
1171,-0.1
1172,6.7
1173,12.6
1174,-29.6
1175,38.40000000000001
1176,-46.3
1177,0.1
1178,-5.8000000000000025
1179,13.1
1180,-13.1
1181,-21.2
1182,38.2
1183,-38.2
1184,49.7
1185,-49.7
1186,-0.30000000000000004
1187,0.30000000000000004
1188,-6.2
1189,-16.5
1190,16.5
1191,-24.3
1192,-34.9
1193,34.9
1194,-41.3
1195,-4.9
1196,-5.9
1197,5.9
1198,-12.4
1199,-20.4
1200,-31.5
1201,-43.0
1202,43.0
1203,1.2000000000000002
1204,-1.2000000000000002
1205,-8.8
1206,13.1
1207,-13.1
1208,28.9
1209,-32.9
1210,32.9
1211,42.9
1212,0.5
1213,-0.5
1214,-7.8
1215,7.8
1216,12.4
1217,26.3
1218,-26.3
1219,-37.1
1220,37.1
1221,-47.0
1222,47.0
1223,-0.4
1224,6.3000000000000025
1225,-6.3000000000000025
1226,13.1
1227,-13.1
1228,-24.20000000000001
1229,-36.8
1230,36.8
1231,49.3
1232,-49.3
1233,-2.8000000000000003
1234,5.2
1235,-5.2
1236,13.1
1237,20.9
1238,32.2
1239,-32.2
1240,-43.0
1241,-0.8999999999999999
1242,0.8999999999999999
1243,-6.9
1244,-11.1
1245,-28.8
1246,38.7
1247,-43.0
1248,-0.1
1249,5.8000000000000025
1250,13.1
1251,-13.1
1252,-28.6
1253,34.800000000000004
1254,-40.5
1255,40.5
1256,-2.0
1257,2.0
1258,6.1000000000000005
1259,-11.5
1260,27.6
1261,-27.6
1262,36.1
1263,-36.1
1264,44.8
1265,-44.8
1266,0.4
1267,5.6
1268,18.3
1269,23.70000000000001
1270,30.1
1271,-47.7
1272,47.7
1273,-0.6000000000000001
1274,0.6000000000000001
1275,-5.300000000000002
1276,5.300000000000002
1277,-10.1
1278,10.1
1279,22.3
1280,33.1
1281,-47.9
1282,4.1000000000000005
1283,-4.1000000000000005
1284,-6.8000000000000025
1285,6.8000000000000025
1286,-10.1
1287,20.9
1288,30.1
1289,-43.0
1290,0.2
1291,-0.2
1292,-7.8
1293,7.8
1294,13.3
1295,-13.3
1296,26.70000000000001
1297,-26.70000000000001
1298,32.9
1299,-32.9
1300,-48.5
1301,-0.6000000000000001
1302,5.300000000000002
1303,-5.300000000000002
1304,-10.9
1305,26.3
1306,-36.2
1307,-49.40000000000001
1308,0.30000000000000004
1309,-0.30000000000000004
1310,-5.6000000000000005
1311,18.6
1312,-18.6
1313,20.9
1314,-36.1
1315,36.1
1316,-40.5
1317,40.5
1318,1.0
1319,-5.300000000000002
1320,-15.3
1321,-22.0
1322,-34.0
1323,34.0
1324,48.90000000000001
1325,-1.1
1326,5.1000000000000005
1327,13.1
1328,-21.3
1329,21.3
1330,-36.8
1331,-40.5
1332,40.5
1333,3.1
1334,-3.1
1335,6.0
1336,13.1
1337,-13.1
1338,-20.9
1339,-35.1
1340,35.1
1341,41.6
1342,2.9
1343,-2.9
1344,-6.0
1345,6.0
1346,13.1
1347,-20.3
1348,20.3
1349,39.40000000000001
1350,-39.40000000000001
1351,-49.5
1352,0.0
1353,-0.0
1354,-5.8000000000000025
1355,15.2
1356,-21.5
1357,21.5
1358,30.20000000000001
1359,46.8
1360,-46.8
1361,-0.5
1362,0.5
1363,7.2
1364,-7.2
1365,11.7
1366,-11.7
1367,20.5
1368,-34.6
1369,34.6
1370,41.3
1371,-2.7
1372,-6.2
1373,6.2
1374,-11.8
1375,11.8
1376,-29.0
1377,36.6
1378,-44.0
1379,-1.2000000000000002
1380,1.2000000000000002
1381,-5.4
1382,5.4
1383,-12.4
1384,28.6
1385,36.0
1386,-43.0
1387,43.0
1388,1.3
1389,-1.3
1390,-5.6
1391,12.9
1392,-24.2
1393,24.2
1394,-32.3
1395,32.3
1396,-48.40000000000001
1397,48.40000000000001
1398,-2.1
1399,2.1
1400,7.8
1401,10.3
1402,-10.3
1403,26.3
1404,-26.3
1405,-37.8
1406,37.8
1407,-43.0
1408,43.0
1409,-1.0
1410,-5.2
1411,-11.7
1412,20.9
1413,-20.9
1414,30.20000000000001
1415,-30.20000000000001
1416,42.6
1417,-42.6
1418,-0.30000000000000004
1419,0.30000000000000004
1420,-7.1
1421,-15.8
1422,28.9
1423,-28.9
1424,38.2
1425,-38.2
1426,47.0
1427,0.4
1428,-7.4
1429,15.1
1430,26.3
1431,-32.2
1432,-40.5
1433,0.0
1434,-0.0
1435,7.6
1436,-7.6
1437,14.0
1438,-14.0
1439,-20.700000000000006
1440,20.700000000000006
1441,-32.4
1442,-45.90000000000001
1443,3.4000000000000004
1444,-3.4000000000000004
1445,6.0
1446,-6.0
1447,-12.9
1448,12.9
1449,22.6
1450,-34.300000000000004
1451,-40.5
1452,40.5
1453,-0.5
1454,-6.2
1455,6.2
1456,-17.7
1457,17.7
1458,-25.9
1459,25.9
1460,-32.6
1461,-44.8
1462,44.8
1463,0.6000000000000001
1464,-5.8000000000000025
1465,-11.8
1466,11.8
1467,-26.2
1468,-37.9
1469,-40.5
1470,40.5
1471,4.0
1472,-5.2
1473,5.2
1474,19.0
1475,22.9
1476,-22.9
1477,33.6
1478,-47.6
1479,47.6
1480,1.0
1481,5.300000000000002
1482,-19.9
1483,19.9
1484,-20.700000000000006
1485,20.700000000000006
1486,30.70000000000001
1487,-30.70000000000001
1488,41.5
1489,-41.5
1490,0.30000000000000004
1491,-0.30000000000000004
1492,-7.3000000000000025
1493,-11.7
1494,-24.5
1495,24.5
1496,-30.2
1497,-42.6
1498,42.6
1499,-0.9
1500,0.9
1501,6.1
1502,-14.6
1503,14.6
1504,22.3
1505,-33.5
1506,-42.1
1507,0.1
1508,-6.6000000000000005
1509,-11.6
1510,11.6
1511,29.6
1512,-34.6
1513,34.6
1514,48.1
1515,-0.8
1516,0.8
1517,-7.1000000000000005
1518,7.1000000000000005
1519,-11.7
1520,11.7
1521,24.0
1522,-24.0
1523,38.1
1524,-38.1
1525,-46.3
1526,46.3
1527,0.30000000000000004
1528,7.7
1529,16.900000000000002
1530,-29.7
1531,-38.8
1532,38.8
1533,44.2
1534,-0.4
1535,0.4
1536,6.6000000000000005
1537,-6.6000000000000005
1538,-12.6
1539,12.6
1540,23.8
1541,-36.2
1542,36.2
1543,47.0
1544,2.3000000000000003
1545,-6.7
1546,6.7
1547,12.3
1548,-12.3
1549,-25.6
1550,35.5
1551,46.7
1552,-46.7
1553,2.0
1554,7.9
1555,-7.9
1556,12.5
1557,26.3
1558,-26.3
1559,-30.9
1560,30.9
1561,47.2
1562,2.6
1563,-2.6
1564,7.1
1565,-17.7
1566,24.4
1567,-34.0
1568,-47.1
1569,47.1
1570,-0.5
1571,0.5
1572,-5.6000000000000005
1573,5.6000000000000005
1574,15.2
1575,-15.2
1576,27.70000000000001
1577,-39.4
1578,39.4
1579,46.3
1580,-1.4
1581,5.2
1582,-5.2
1583,-16.0
1584,-25.4
1585,-34.2
1586,40.7
1587,-4.2
1588,-6.5
1589,-16.2
1590,24.1
1591,-24.1
1592,-33.5
1593,-40.6
1594,40.6
1595,0.6000000000000001
1596,7.0
1597,-11.7
1598,11.7
1599,28.70000000000001
1600,-28.70000000000001
1601,-32.0
1602,-43.0
1603,-0.1
1604,-7.1000000000000005
1605,7.1000000000000005
1606,16.8
1607,-16.8
1608,-24.20000000000001
1609,37.7
1610,-37.7
1611,41.4
1612,4.0
1613,-4.0
1614,-6.2
1615,6.2
1616,14.3
1617,23.8
1618,-31.1
1619,31.1
1620,43.6
1621,-43.6
1622,2.7
1623,-2.7
1624,7.1000000000000005
1625,-7.1000000000000005
1626,-18.0
1627,-26.70000000000001
1628,26.70000000000001
1629,-36.1
1630,-50.0
1631,50.0
1632,-0.2
1633,-5.9
1634,5.9
1635,-17.7
1636,29.4
1637,-31.2
1638,31.2
1639,-43.0
1640,-2.6
1641,2.6
1642,-7.1000000000000005
1643,7.1000000000000005
1644,15.2
1645,-15.2
1646,21.3
1647,-21.3
1648,-31.2
1649,-48.0
1650,0.9
1651,-7.9
1652,7.9
1653,11.9
1654,-11.9
1655,-28.0
1656,-33.6
1657,-43.0
1658,43.0
1659,0.30000000000000004
1660,-6.7
1661,15.9
1662,21.4
1663,-21.4
1664,-31.70000000000001
1665,31.70000000000001
1666,-47.0
1667,0.30000000000000004
1668,6.4
1669,17.6
1670,-24.20000000000001
1671,-30.9
1672,-43.0
1673,-3.2
1674,7.4
1675,13.1
1676,20.9
1677,-20.9
1678,-38.1
1679,38.1
1680,-41.0
1681,41.0
1682,-2.0
1683,-8.9
1684,13.1
1685,-21.3
1686,35.0
1687,-35.0
1688,-48.7
1689,0.5
1690,5.7
1691,15.2
1692,-15.2
1693,26.0
1694,-26.0
1695,-31.2
1696,-47.2
1697,47.2
1698,-0.7000000000000001
1699,0.7000000000000001
1700,-8.9
1701,13.1
1702,20.9
1703,-20.9
1704,31.3
1705,41.3
1706,-41.3
1707,0.6000000000000001
1708,-5.7
1709,12.3
1710,28.9
1711,-28.9
1712,32.0
1713,-32.0
1714,49.2
1715,0.5
1716,-0.5
1717,-8.0
1718,15.2
1719,-15.2
1720,28.5
1721,-28.5
1722,-30.8
1723,30.8
1724,43.3
1725,-43.3
1726,-2.4
1727,2.4
1728,-7.3
1729,7.3
1730,-16.1
1731,16.1
1732,20.8
1733,-20.8
1734,-30.6
1735,40.6
1736,-40.6
1737,0.0
1738,-0.0
1739,8.200000000000001
1740,-8.200000000000001
1741,13.1
1742,20.9
1743,-20.9
1744,32.9
1745,46.3
1746,-46.3
1747,1.9
1748,8.200000000000001
1749,12.8
1750,-12.8
1751,23.20000000000001
1752,-23.20000000000001
1753,-32.5
1754,32.5
1755,-43.0
1756,0.1
1757,-7.0
1758,7.0
1759,13.8
1760,-27.8
1761,27.8
1762,-36.4
1763,36.4
1764,45.8
1765,1.4
1766,-5.1000000000000005
1767,5.1000000000000005
1768,12.0
1769,-24.5
1770,24.5
1771,-37.1
1772,37.1
1773,-40.5
1774,40.5
1775,0.30000000000000004
1776,5.2
1777,-5.2
1778,17.8
1779,-23.4
1780,23.4
1781,-30.70000000000001
1782,-40.5
1783,-1.3
1784,1.3
1785,8.200000000000001
1786,16.8
1787,-16.8
1788,20.9
1789,-20.9
1790,-34.0
1791,44.7
1792,-44.7
1793,3.0
1794,-3.0
1795,-6.7
1796,6.7
1797,-10.6
1798,10.6
1799,20.9
1800,-36.4
1801,36.4
1802,42.1
1803,0.30000000000000004
1804,-0.30000000000000004
1805,-6.7
1806,6.7
1807,-10.9
1808,-23.4
1809,31.5
1810,-31.5
1811,-50.0
1812,50.0
1813,-0.6000000000000001
1814,0.6000000000000001
1815,5.300000000000002
1816,-19.700000000000006
